,Name,Address,Notes,Phone_Number,Station_Type,Vaccine_Type,Notes
21,CUNY in the Heights- Pop Up ,"5030 Broadway, Manhattan","$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ",(877) 829-4692,Pop Up - Van ,Vaccines offered:Pfizer (12+)Johnson & Johnson (18+),"$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , "
22,Damian Family Care Center - Firehouse ,"89-56 162nd Street, Queens","$100 incentive available , ",(877) 829-4692,Community Health Center/Clinic ,Vaccines offered:Pfizer (5-11)Pfizer (12+),"$100 incentive available , "
23,Damian Family Care Center - Third Avenue ,"2604 3rd Avenue, Bronx","$100 incentive available , ",(877) 829-4692,Community Health Center/Clinic ,Vaccines offered:Pfizer (5-11)Pfizer (12+),"$100 incentive available , "
24,Dunkin - Prospect Ave- Pop Up ,"839 Prospect Ave, Bronx","$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ",(877) 829-4692,Pop Up - Van ,Vaccine offered:Johnson & Johnson (18+),"$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , "
25,Ezra Medical Center ,"1260 60th Street, Brooklyn","$100 incentive available , ",(877) 829-4692,Community Health Center/Clinic ,Vaccine offered:Pfizer (12+),"$100 incentive available , "
26,Ezra Medical Center for Women's Health ,"1278 60th Street, Brooklyn","$100 incentive available , ",(877) 829-4692,Community Health Center/Clinic ,Vaccines offered:Pfizer (12+)Pfizer (5-11)Moderna (18+),"$100 incentive available , "
27,First Corinthian Baptist Church (FCBC)- Pop Up ,"1912 Adam Clayton Powell Jr Blvd, Manhattan","$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ",(877) 829-4692,Pop Up - Van ,Vaccine offered:Johnson & Johnson (18+),"$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , "
28,First MedCare ,"8707 Flatlands Avenue, Floor 2, Brooklyn","$100 incentive available , ",(877) 829-4692,Primary Care ,Vaccine offered:Moderna (18+),"$100 incentive available , "
29,First Spanish UMC- Pop Up ,"Corner of 111th street & Lexington Ave, Manhattan","$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ",(877) 829-4692,Pop Up - Van ,Vaccine offered:Johnson & Johnson (18+),"$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , "
30,Free Synagogue of Flushing ,"41-60 Kissena Blvd, Queens","$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ",(877) 829-4692,Community Health Center/Clinic ,Vaccines offered:Pfizer (5-11)Pfizer (12+),"$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , "
31,Gotham Sydenham- Pop Up ,"264 W 118th St, Manhattan","$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ",(877) 829-4692,Pop Up - Van ,Vaccine offered:Moderna (18+),"$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , "
32,Grace United Methodist Church- Pop Up ,"200-08 Murdock Avenue, Queens","$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ",(877) 829-4692,Pop Up - Van ,Vaccine offered:Johnson & Johnson (18+),"$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , "
33,GrowNYC Farmstand- Pop Up ,"Nostrand Ave at Empire Blvd (b/t Empire and Montgomery St), Brooklyn","$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ",(877) 829-4692,Pop Up - Van ,Vaccines offered:Pfizer (12+)Johnson & Johnson (18+),"$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , "
34,Gurdwara Sant Sagar- Pop Up ,"242-25 Braddock Ave, Queens","$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ",(877) 829-4692,Pop Up - Van ,Vaccine offered:Moderna (18+),"$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , "
35,Institute for Family Health - Stevenson Family Health Center ,"731 White Plains Road, Bronx","$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ",(877) 829-4692,Community Health Center/Clinic ,Vaccines offered:Pfizer (5-11)Pfizer (12+),"$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , "
36,Korean Community Services - Bayside United Methodist Church- Pop Up ,"3820 Bell Blvd, Queens","$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ",(877) 829-4692,Pop Up - Van ,Vaccines offered:Pfizer (12+)Johnson & Johnson (18+),"$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , "
37,LaSante Health Center ,"672 Parkside Avenue, 2nd Floor, Brooklyn","$100 incentive available , ",(877) 829-4692,Community Health Center/Clinic ,Vaccines offered:Pfizer (12+)Pfizer (5-11),"$100 incentive available , "
38,Maimonides Hall ,"950 49th Street, Brooklyn","$100 incentive available , ",(877) 829-4692,Community Health Center/Clinic ,Vaccine offered:Pfizer (12+),"$100 incentive available , "
39,Maimonides Schreiber Auditorium ,"4802 10th Avenue, Brooklyn","$100 incentive available , ",(877) 829-4692,Community Health Center/Clinic ,Vaccine offered:Pfizer (12+),"$100 incentive available , "
40,Mass Vaccination Site - Bathgate Contract Postal Station ,"4006 3rd Avenue, Bronx","$100 incentive available , Appointments are encouraged; limited walk-ins accepted , Walk-up vaccinations available to all eligible New Yorkers , ",(877) 829-4692,Community Health Center/Clinic ,Vaccine offered:Moderna (18+),"$100 incentive available , Appointments are encouraged; limited walk-ins accepted , Walk-up vaccinations available to all eligible New Yorkers , "
41,Mass Vaccination Site - Brooklyn Army Terminal ,"140 58th Street, Brooklyn","$100 incentive available , Appointments are encouraged; limited walk-ins accepted , Walk-up vaccinations available to all eligible New Yorkers , ",(877) 829-4692,Community Health Center/Clinic ,Vaccine offered:Moderna (18+),"$100 incentive available , Appointments are encouraged; limited walk-ins accepted , Walk-up vaccinations available to all eligible New Yorkers , "
42,Mass Vaccination Site - Citi Field ,"36-02 126th St, Cars enter through gate 11, Queens","$100 incentive available , Appointments are encouraged; limited walk-ins accepted , ",(877) 829-4692,Community Health Center/Clinic ,Vaccines offered:Pfizer (5-11)Pfizer (12+),"$100 incentive available , Appointments are encouraged; limited walk-ins accepted , "
43,Medisys - Hollis Tudors ,"200-16 Hollis Avenue, Queens","$100 incentive available , Appointments are encouraged; limited walk-ins accepted , ",(877) 829-4692,Primary Care ,Vaccines offered:Pfizer (5-11)Pfizer (12+),"$100 incentive available , Appointments are encouraged; limited walk-ins accepted , "
44,MedRite Urgent Care ,"919 2nd Avenue, Manhattan","$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ",(877) 829-4692,Urgent Care ,Vaccine offered:Moderna (18+),"$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , "
45,MedRite Urgent Care - 42nd St. ,"521 W 42nd Street, Manhattan","$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ",(877) 829-4692,Urgent Care ,Vaccine offered:Pfizer (12+),"$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , "
46,Medrite Urgent Care - Court Street ,"151 Court Street, Brooklyn","$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ",(877) 829-4692,Urgent Care ,Vaccine offered:Moderna (18+),"$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , "
47,MedRite Urgent Care - Upper Manhattan ,"177 Dyckman Street, Manhattan","$100 incentive available , ",(212) 235-1633,Urgent Care ,Vaccine offered:Pfizer (12+),"$100 incentive available , "
48,Mobile Vaccine Clinic - Bushwick- Pop Up ,"274 Knickerbocker Ave, Brooklyn","$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ",(877) 829-4692,Pop Up  - Bus ,Vaccine offered:Pfizer (5-11),"$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , "
49,Mobile Vaccine Clinic - Bushwick/Halsey Ave- Pop Up ,"1549 Broadway, Brooklyn","$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ",(877) 829-4692,Pop Up  - Bus ,Vaccine offered:Pfizer (12+),"$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , "
50,Mobile Vaccine Clinic - East Williamsburg- Pop Up ,"165 Graham Ave, Brooklyn","$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ",(877) 829-4692,Pop Up  - Bus ,Vaccines offered:Pfizer (12+)Pfizer (5-11),"$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , "
51,Mobile Vaccine Clinic - Fordham Plaza- Pop Up ,"1 Fordham Plaza, Bronx","$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ",(877) 829-4692,Pop Up  - Bus ,Vaccines offered:Moderna (18+)Pfizer (12+),"$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , "
52,Mobile Vaccine Clinic - Ridgewood- Pop Up ,"54-28 Myrtle Avenue, Queens","$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ",(877) 829-4692,Pop Up  - Bus ,Vaccines offered:Pfizer (5-11)Pfizer (12+),"$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , "
53,Mobile Vaccine Clinic - South Richmond Hill- Pop Up ,"11910 Liberty Ave, Queens","$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ",(877) 829-4692,Pop Up  - Bus ,Vaccines offered:Pfizer (5-11)Pfizer (12+),"$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , "
54,Mobile Vaccine Clinic - Stuyvesant Heights- Pop Up ,"1700 Fulton Street, Brooklyn","$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ",(877) 829-4692,Pop Up  - Bus ,Vaccines offered:Pfizer (12+)Moderna (18+),"$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , "
55,Mobile Vaccine Clinic - Sunset Park 8th Ave- Pop Up ,"705 60th Street, Brooklyn","$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ",(877) 829-4692,Pop Up  - Bus ,Vaccine offered:Pfizer (12+),"$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , "
56,Morris Heights Health Center ,"70 West Burnside Avenue, Bronx","$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ",(877) 829-4692,Community Health Center/Clinic ,Vaccines offered:Johnson & Johnson (18+)Moderna (18+)Pfizer (12+),"$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , "
57,NYC Health Dept. - Corona Clinic ,"34-33 Junction Boulevard, Queens","$100 incentive available , Appointments are encouraged; limited walk-ins accepted , ",(877) 829-4692,Community Health Center/Clinic ,Vaccines offered:Pfizer (5-11)Pfizer (12+)Moderna (18+),"$100 incentive available , Appointments are encouraged; limited walk-ins accepted , "
58,NYC Health Dept. - Crown Heights Clinic ,"1218 Prospect Place, Brooklyn","$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ",(877) 829-4692,Community Health Center/Clinic ,Vaccine offered:Moderna (18+),"$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , "
59,NYC Health Dept. - Fort Greene Clinic ,"295 Flatbush Ave Ext., 5th floor, Brooklyn","$100 incentive available , ",(877) 829-4692,Community Health Center/Clinic ,Vaccine offered:Moderna (18+),"$100 incentive available , "
60,NYC Health Dept. - Morrisania Clinic ,"1309 Fulton Avenue, 3rd floor, Bronx","$100 incentive available , ",(877) 829-4692,Community Health Center/Clinic ,Vaccine offered:Moderna (18+),"$100 incentive available , "
61,NYC Health Dept. - Uptown Clinic ,"158 E 115th Street, Manhattan","$100 incentive available , Appointments are encouraged; limited walk-ins accepted , ",(877) 829-4692,Community Health Center/Clinic ,Vaccines offered:Pfizer (5-11)Pfizer (12+)Moderna (18+),"$100 incentive available , Appointments are encouraged; limited walk-ins accepted , "
62,NYC Vaccine Hub - American Museum of Natural History ,"27 West 77th Street, Manhattan","$100 incentive available , Appointments are encouraged; limited walk-ins accepted , ",(877) 829-4692,Community Health Center/Clinic ,Vaccines offered:Pfizer (5-11)Moderna (18+)Pfizer (12+),"$100 incentive available , Appointments are encouraged; limited walk-ins accepted , "
63,NYC Vaccine Hub - Brooklyn Children's Museum ,"145 Brooklyn Avenue, Brooklyn","$100 incentive available , Appointments are encouraged; limited walk-ins accepted , ",(877) 829-4692,Community Health Center/Clinic ,Vaccines offered:Pfizer (5-11)Pfizer (12+),"$100 incentive available , Appointments are encouraged; limited walk-ins accepted , "
64,NYC Vaccine Hub - Empire Outlets ,"55 Richmond Terrace, Staten Island","$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ",(877) 829-4692,Community Health Center/Clinic ,Vaccines offered:Pfizer (5-11)Pfizer (12+),"$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , "
65,NYC Vaccine Hub - Essex Crossing ,"244B Broome Street, Manhattan","$100 incentive available , Appointments are encouraged; limited walk-ins accepted , ",(877) 829-4692,Community Health Center/Clinic ,Vaccines offered:Pfizer (5-11)Moderna (18+)Pfizer (12+),"$100 incentive available , Appointments are encouraged; limited walk-ins accepted , "
66,NYC Vaccine Hub - Flatbush YMCA ,"1401 Flatbush Avenue, Brooklyn","$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ",(877) 829-4692,Community Health Center/Clinic ,Vaccines offered:Pfizer (5-11)Pfizer (12+),"$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , "
67,NYC Vaccine Hub - Fulton Center/Google ,"119 9th Avenue, Manhattan","$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ",(877) 829-4692,Community Health Center/Clinic ,Vaccines offered:Pfizer (5-11)Pfizer (12+),"$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , "
68,NYC Vaccine Hub - Korean Community Services ,"203-05 32nd Avenue, Queens","$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ",(877) 829-4692,Community Health Center/Clinic ,Vaccines offered:Pfizer (5-11)Pfizer (12+),"$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , "
69,NYC Vaccine Hub - Long Island City ,"5-17 46th Road, Queens","$100 incentive available , Appointments are encouraged; limited walk-ins accepted , ",(877) 829-4692,Community Health Center/Clinic ,Vaccines offered:Pfizer (5-11)Pfizer (12+)Moderna (18+),"$100 incentive available , Appointments are encouraged; limited walk-ins accepted , "
70,NYC Vaccine Hub - Queens Public Library at Ozone Park ,"92-24 Rockaway Boulevard, Queens","$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ",(877) 829-4692,Community Health Center/Clinic ,Vaccines offered:Pfizer (5-11)Pfizer (12+),"$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , "
71,NYC Vaccine Hub - Starrett City/Spring Creek Towers - Cityblock Health ,"1310 Pennsylvania Avenue, Brooklyn","$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ",(877) 829-4692,Community Health Center/Clinic ,Vaccines offered:Pfizer (5-11)Pfizer (12+),"$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , "
72,NYC Vaccine Hub - The Jefferson ,"1300 Flushing Ave, Brooklyn","$100 incentive available , Appointments are encouraged; limited walk-ins accepted , ",(877) 829-4692,Community Health Center/Clinic ,Vaccines offered:Pfizer (5-11)Pfizer (12+)Moderna (18+),"$100 incentive available , Appointments are encouraged; limited walk-ins accepted , "
73,NYC Vaccine Hub - The Livonia ,"506 Livonia Avenue, Brooklyn","$100 incentive available , Appointments are encouraged; limited walk-ins accepted , ",(877) 829-4692,Community Health Center/Clinic ,Vaccines offered:Pfizer (5-11)Moderna (18+)Pfizer (12+),"$100 incentive available , Appointments are encouraged; limited walk-ins accepted , "
74,NYC Vaccine Hub - Times Square (Previously NFL Experience) ,"20 Times Square, Manhattan","$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ",(877) 829-4692,Community Health Center/Clinic ,Vaccines offered:Pfizer (5-11)Pfizer (12+)Johnson & Johnson (18+),"$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , "
75,NYC Vaccine Hub - West Bronx Gymnasium ,"1527 Jesup Avenue, Bronx","$100 incentive available , Appointments are encouraged; limited walk-ins accepted , ",(877) 829-4692,Community Health Center/Clinic ,Vaccines offered:Pfizer (5-11)Moderna (18+)Pfizer (12+),"$100 incentive available , Appointments are encouraged; limited walk-ins accepted , "
76,NYCHA Kingsborough- Pop Up ,"1880 Pacfic Street, Brooklyn","$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ",(877) 829-4692,Pop Up - Van ,Vaccine offered:Johnson & Johnson (18+),"$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , "
77,Preferred Pharmacy ,"1771 Broadway, Brooklyn","$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ",(877) 829-4692,Pharmacy ,Vaccines offered:Pfizer (12+)Moderna (18+)Johnson & Johnson (18+),"$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , "
78,Queens Mall - Former Modell's Location ,"58-56 92nd Street, Queens","$100 incentive available , Appointments are encouraged; limited walk-ins accepted , ",(877) 829-4692,Community Health Center/Clinic ,Vaccines offered:Pfizer (5-11)Pfizer (12+)Moderna (18+),"$100 incentive available , Appointments are encouraged; limited walk-ins accepted , "
79,Quisqueya Playground- Pop Up ,"2405 Amsterdam Ave, Manhattan","$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ",(877) 829-4692,Pop Up - Van ,Vaccine offered:Pfizer (12+),"$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , "
80,Rambam Family Health Center ,"1122 Chestnut Avenue, Ground Floor, Brooklyn","$100 incentive available , Appointments are encouraged; limited walk-ins accepted , ",(877) 829-4692,Community Health Center/Clinic ,Vaccines offered:Pfizer (12+)Moderna (18+)Pfizer (5-11),"$100 incentive available , Appointments are encouraged; limited walk-ins accepted , "
81,Ryan Health - Frederick Douglass Community Health ,"2381 Frederick Douglass Boulevard, Manhattan","$100 incentive available , ",(877) 829-4692,Community Health Center/Clinic ,Vaccines offered:Johnson & Johnson (18+)Pfizer (12+)Moderna (18+)Pfizer (5-11),"$100 incentive available , "
82,Shack48- Pop Up ,"212-32 48th Ave, Queens","$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ",(877) 829-4692,Pop Up - Van ,Vaccine offered:Johnson & Johnson (18+),"$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , "
83,St Johns Episcopal - Patient Express Care Center ,"327 Beach 19th Street, Queens","$100 incentive available , Appointments are encouraged; limited walk-ins accepted , Walk-up vaccinations available to all eligible New Yorkers , ",(877) 829-4692,Urgent Care ,Vaccines offered:Pfizer (12+)Pfizer (5-11),"$100 incentive available , Appointments are encouraged; limited walk-ins accepted , Walk-up vaccinations available to all eligible New Yorkers , "
84,St. Francis College- Pop Up ,"97 Columbia Heights, Brooklyn","$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ",(877) 829-4692,Pop Up - Van ,Vaccine offered:Johnson & Johnson (18+),"$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , "
85,Star Spangled Playground- Pop Up ,"194 Franklin Ave, Brooklyn","$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ",(877) 829-4692,Pop Up - Van ,Vaccine offered:Johnson & Johnson (18+),"$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , "
86,Stars and Stripes Playground- Pop Up ,"Baychester Ave & Crawford Ave, Bronx, NY 10466, Bronx","$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ",(877) 829-4692,Pop Up - Van ,Vaccines offered:Pfizer (12+)Johnson & Johnson (18+),"$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , "
87,Sts. Joachim & Anne Parish- Pop Up ,"Robard Lane & Hollis Ave, Queens","$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ",(877) 829-4692,Pop Up - Van ,Vaccines offered:Johnson & Johnson (18+)Pfizer (12+),"$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , "
88,Sun River Church Avenue Annex at Goshen Temple ,"2414-18 Church Avenue, Brooklyn","$100 incentive available , ",(877) 829-4692,Community Health Center/Clinic ,Vaccines offered:Moderna (18+)Pfizer (12+)Pfizer (5-11)Johnson & Johnson (18+),"$100 incentive available , "
89,Super Health Pharmacy ,"6390 Amboy Road, Staten Island","$100 incentive available , ",(877) 829-4692,Pharmacy ,Vaccines offered:Pfizer (5-11)Moderna (18+)Pfizer (12+)Johnson & Johnson (18+),"$100 incentive available , "
90,Uncommon Schools: LPBVEA- Pop Up ,"985 Rockaway Ave, Brooklyn","$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ",(877) 829-4692,Pop Up - Van ,Vaccine offered:Pfizer (12+),"$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , "
91,Union Community Health Center - 188th Street ,"260 East 188th Street, Bronx","$100 incentive available , ",(877) 829-4692,Community Health Center/Clinic ,Vaccine offered:Pfizer (12+),"$100 incentive available , "
92,Union Community Health Center - Grand Concourse ,"2021 Grand Concourse, Bronx","$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ",(877) 829-4692,Community Health Center/Clinic ,Vaccines offered:Pfizer (5-11)Pfizer (12+),"$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , "
