ID,Name,Address,Notes,Phone_Number,Station_Type,Vaccine_Type,Notes,formatted_address,latitude,longitude
10,BMS Family Health Center at St. Paul Community Baptist Church ,"859 Hendrix Street, Brooklyn","$100 incentive available , ",(877) 829-4692,Community Health Center/Clinic ,Vaccines offered:Pfizer (12+)Pfizer (5-11),"$100 incentive available , ","859 Hendrix St, Brooklyn, NY 11207, USA",40.6603264,-73.8840458
11,Boriken Neighborhood Health Center ,"2265 3rd Avenue, Manhattan","$100 incentive available , Appointments are encouraged; limited walk-ins accepted , Walk-up vaccinations available to all eligible New Yorkers , ",(877) 829-4692,Community Health Center/Clinic ,Vaccines offered:Moderna (18+)Pfizer (12+)Pfizer (5-11),"$100 incentive available , Appointments are encouraged; limited walk-ins accepted , Walk-up vaccinations available to all eligible New Yorkers , ","2265 3rd Ave, New York, NY 10035, USA",40.8024364,-73.9363954
12,Brooklyn Neighborhood Health Action Center- Pop Up ,"485 Throop Ave, Brooklyn","$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ",(877) 829-4692,Pop Up - Van ,Vaccines offered:Pfizer (12+)Johnson & Johnson (18+),"$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ","485 Throop Ave, Brooklyn, NY 11221, USA",40.6855549,-73.9411715
13,Brooklyn Prospect: Downtown/International Elementary Schools- Pop Up ,"80 Willoughby St, Brooklyn","$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ",(877) 829-4692,Pop Up - Van ,Vaccine offered:Pfizer (5-11),"$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ","80 Willoughby St, Brooklyn, NY 11201, USA",40.6919393,-73.9854298
14,Brooklyn Prospect: Windsor Terrace Elementary School- Pop Up ,"3002 Ft Hamilton Pkwy, Brooklyn","$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ",(877) 829-4692,Pop Up - Van ,Vaccine offered:Pfizer (5-11),"$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ","3002 Fort Hamilton Pkwy, Brooklyn, NY 11218, USA",40.6480768,-73.9785922
15,Brooklyn Prospect: Windsor Terrace Middle School- Pop Up ,"40 Flatbush Ave Ext, Brooklyn","$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ",(877) 829-4692,Pop Up - Van ,Vaccines offered:Pfizer (12+)Pfizer (5-11),"$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ","40 Flatbush Ave Ext, Brooklyn, NY 11201, USA",40.6973547,-73.9855748
16,Brownsville Multi-Service Family Health Center at Ashford ,"650 Ashford St, Brooklyn","$100 incentive available , ",(877) 829-4692,Community Health Center/Clinic ,Vaccines offered:Pfizer (12+)Moderna (18+),"$100 incentive available , ","650 Ashford St, Brooklyn, NY 11207, USA",40.6658962,-73.8833893
17,Bryan Park- Pop Up ,"E Fordham Rd & E Kingsbridge Rd, Bronx","$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ",(877) 829-4692,Pop Up ,Vaccine offered:Johnson & Johnson (18+),"$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ","E Fordham Rd, Bronx, NY, USA",40.8595729,-73.8874273
18,Chefs Warehouse- Pop Up ,"240 Food Center Drive (parking lot), Bronx","$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ",(877) 829-4692,Pop Up - Van ,Vaccines offered:Pfizer (12+)Johnson & Johnson (18+),"$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ","240 Food Center Dr, Bronx, NY 10474, USA",40.8113172,-73.8725893
19,Conference House Park- Pop Up ,"Corner of Saterlee Street and Hylan Blvd, Staten Island","$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ",(877) 829-4692,Pop Up - Van ,Vaccine offered:Pfizer (12+),"$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ","Hylan Blvd & Satterlee St, Staten Island, NY 10307, USA",40.5027909,-74.2518454
20,CUNY - Borough of Manhattan Community College- Pop Up ,"245 Greenwich St (Corner of Park Place and Greenwich St), Manhattan","$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ",(877) 829-4692,Pop Up - Van ,Vaccines offered:Pfizer (12+)Johnson & Johnson (18+),"$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ","245 Greenwich St, New York, NY 10007, USA",40.7139078,-74.0113173
21,CUNY in the Heights- Pop Up ,"5030 Broadway, Manhattan","$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ",(877) 829-4692,Pop Up - Van ,Vaccines offered:Pfizer (12+)Johnson & Johnson (18+),"$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ","5030 Broadway, New York, NY 10034, USA",40.8688715,-73.9166929
22,Damian Family Care Center - Firehouse ,"89-56 162nd Street, Queens","$100 incentive available , ",(877) 829-4692,Community Health Center/Clinic ,Vaccines offered:Pfizer (5-11)Pfizer (12+),"$100 incentive available , ","89-56 162nd St, Queens, NY 11432, USA",40.705073,-73.7983903
23,Damian Family Care Center - Third Avenue ,"2604 3rd Avenue, Bronx","$100 incentive available , ",(877) 829-4692,Community Health Center/Clinic ,Vaccines offered:Pfizer (5-11)Pfizer (12+),"$100 incentive available , ","2604 3rd Ave., Bronx, NY 10454, USA",40.811892,-73.92508
24,Dunkin - Prospect Ave- Pop Up ,"839 Prospect Ave, Bronx","$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ",(877) 829-4692,Pop Up - Van ,Vaccine offered:Johnson & Johnson (18+),"$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ","839 Prospect Ave, Bronx, NY 10459, USA",40.8199807,-73.9019161
25,Ezra Medical Center ,"1260 60th Street, Brooklyn","$100 incentive available , ",(877) 829-4692,Community Health Center/Clinic ,Vaccine offered:Pfizer (12+),"$100 incentive available , ","1260 60th St, Brooklyn, NY 11219, USA",40.6290915,-73.9992277
26,Ezra Medical Center for Women's Health ,"1278 60th Street, Brooklyn","$100 incentive available , ",(877) 829-4692,Community Health Center/Clinic ,Vaccines offered:Pfizer (12+)Pfizer (5-11)Moderna (18+),"$100 incentive available , ","Parking lot, 1278 60th St, Brooklyn, NY 11219, USA",40.6288984,-73.9992555
27,First Corinthian Baptist Church (FCBC)- Pop Up ,"1912 Adam Clayton Powell Jr Blvd, Manhattan","$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ",(877) 829-4692,Pop Up - Van ,Vaccine offered:Johnson & Johnson (18+),"$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ","1912 Adam Clayton Powell Jr Blvd, New York, NY 10026, USA",40.8031965,-73.9531111
28,First MedCare ,"8707 Flatlands Avenue, Floor 2, Brooklyn","$100 incentive available , ",(877) 829-4692,Primary Care ,Vaccine offered:Moderna (18+),"$100 incentive available , ","8707 Flatlands Ave Floor 2, Brooklyn, NY 11236, USA",40.6391826,-73.908104
29,First Spanish UMC- Pop Up ,"Corner of 111th street & Lexington Ave, Manhattan","$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ",(877) 829-4692,Pop Up - Van ,Vaccine offered:Johnson & Johnson (18+),"$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ","111th St & Ridgeland Ave, Worth, IL 60482, USA",40.79562307,-73.94376845
30,Free Synagogue of Flushing ,"41-60 Kissena Blvd, Queens","$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ",(877) 829-4692,Community Health Center/Clinic ,Vaccines offered:Pfizer (5-11)Pfizer (12+),"$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ","41-60 Kissena Blvd, Queens, NY 11355, USA",40.7571065,-73.8281913
31,Gotham Sydenham- Pop Up ,"264 W 118th St, Manhattan","$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ",(877) 829-4692,Pop Up - Van ,Vaccine offered:Moderna (18+),"$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ","264 W 118th St, New York, NY 10026, USA",40.8052028,-73.9536622
32,Grace United Methodist Church- Pop Up ,"200-08 Murdock Avenue, Queens","$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ",(877) 829-4692,Pop Up - Van ,Vaccine offered:Johnson & Johnson (18+),"$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ","200-08 Murdock Ave, Jamaica, NY 11412, USA",40.699882,-73.754153
33,GrowNYC Farmstand- Pop Up ,"Nostrand Ave at Empire Blvd (b/t Empire and Montgomery St), Brooklyn","$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ",(877) 829-4692,Pop Up - Van ,Vaccines offered:Pfizer (12+)Johnson & Johnson (18+),"$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ","Empire Blvd/Nostrand Av, Brooklyn, NY 11225, USA",40.663841,-73.950531
34,Gurdwara Sant Sagar- Pop Up ,"242-25 Braddock Ave, Queens","$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ",(877) 829-4692,Pop Up - Van ,Vaccine offered:Moderna (18+),"$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ","242-25 Braddock Ave, Queens, NY 11426, USA",40.7262079,-73.7253979
35,Institute for Family Health - Stevenson Family Health Center ,"731 White Plains Road, Bronx","$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ",(877) 829-4692,Community Health Center/Clinic ,Vaccines offered:Pfizer (5-11)Pfizer (12+),"$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ","731 White Plains Rd, Bronx, NY 10473, USA",40.8202298,-73.8582283
36,Korean Community Services - Bayside United Methodist Church- Pop Up ,"3820 Bell Blvd, Queens","$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ",(877) 829-4692,Pop Up - Van ,Vaccines offered:Pfizer (12+)Johnson & Johnson (18+),"$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ","38-20 Bell Blvd, Flushing, NY 11361, USA",40.7656501,-73.7726529
37,LaSante Health Center ,"672 Parkside Avenue, 2nd Floor, Brooklyn","$100 incentive available , ",(877) 829-4692,Community Health Center/Clinic ,Vaccines offered:Pfizer (12+)Pfizer (5-11),"$100 incentive available , ","672 Parkside Ave 2nd Floor, Brooklyn, NY 11226, USA",40.6561287,-73.9508169
38,Maimonides Hall ,"950 49th Street, Brooklyn","$100 incentive available , ",(877) 829-4692,Community Health Center/Clinic ,Vaccine offered:Pfizer (12+),"$100 incentive available , ","950 49th St, Brooklyn, NY 11219, USA",40.6395437,-74.0000297
39,Maimonides Schreiber Auditorium ,"4802 10th Avenue, Brooklyn","$100 incentive available , ",(877) 829-4692,Community Health Center/Clinic ,Vaccine offered:Pfizer (12+),"$100 incentive available , ","4802 10th Ave, Brooklyn, NY 11219, USA",40.639262,-73.9981537
40,Mass Vaccination Site - Bathgate Contract Postal Station ,"4006 3rd Avenue, Bronx","$100 incentive available , Appointments are encouraged; limited walk-ins accepted , Walk-up vaccinations available to all eligible New Yorkers , ",(877) 829-4692,Community Health Center/Clinic ,Vaccine offered:Moderna (18+),"$100 incentive available , Appointments are encouraged; limited walk-ins accepted , Walk-up vaccinations available to all eligible New Yorkers , ","4006 3rd Ave., Bronx, NY 10457, USA",40.8420144,-73.8982913
41,Mass Vaccination Site - Brooklyn Army Terminal ,"140 58th Street, Brooklyn","$100 incentive available , Appointments are encouraged; limited walk-ins accepted , Walk-up vaccinations available to all eligible New Yorkers , ",(877) 829-4692,Community Health Center/Clinic ,Vaccine offered:Moderna (18+),"$100 incentive available , Appointments are encouraged; limited walk-ins accepted , Walk-up vaccinations available to all eligible New Yorkers , ","140 58th St, Brooklyn, NY 11220, USA",40.6455001,-74.0239072
42,Mass Vaccination Site - Citi Field ,"36-02 126th St, Cars enter through gate 11, Queens","$100 incentive available , Appointments are encouraged; limited walk-ins accepted , ",(877) 829-4692,Community Health Center/Clinic ,Vaccines offered:Pfizer (5-11)Pfizer (12+),"$100 incentive available , Appointments are encouraged; limited walk-ins accepted , ","104-36 126th St, Jamaica, NY 11419, USA",40.687348,-73.8183169
43,Medisys - Hollis Tudors ,"200-16 Hollis Avenue, Queens","$100 incentive available , Appointments are encouraged; limited walk-ins accepted , ",(877) 829-4692,Primary Care ,Vaccines offered:Pfizer (5-11)Pfizer (12+),"$100 incentive available , Appointments are encouraged; limited walk-ins accepted , ","200-16 Hollis Ave, St. Albans, NY 11412, USA",40.7059459,-73.7569326
44,MedRite Urgent Care ,"919 2nd Avenue, Manhattan","$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ",(877) 829-4692,Urgent Care ,Vaccine offered:Moderna (18+),"$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ","919 2nd Ave, New York, NY 10017, USA",40.754211,-73.9693705
45,MedRite Urgent Care - 42nd St. ,"521 W 42nd Street, Manhattan","$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ",(877) 829-4692,Urgent Care ,Vaccine offered:Pfizer (12+),"$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ","521 W 42nd St, New York, NY 10013, USA",40.7602335,-73.9964986
46,Medrite Urgent Care - Court Street ,"151 Court Street, Brooklyn","$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ",(877) 829-4692,Urgent Care ,Vaccine offered:Moderna (18+),"$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ","151 Court St, Brooklyn, NY 11201, USA",40.6889697,-73.9924873
47,MedRite Urgent Care - Upper Manhattan ,"177 Dyckman Street, Manhattan","$100 incentive available , ",(212) 235-1633,Urgent Care ,Vaccine offered:Pfizer (12+),"$100 incentive available , ","177 Dyckman St, New York, NY 10040, USA",40.8643423,-73.9262813
48,Mobile Vaccine Clinic - Bushwick- Pop Up ,"274 Knickerbocker Ave, Brooklyn","$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ",(877) 829-4692,Pop Up  - Bus ,Vaccine offered:Pfizer (5-11),"$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ","274 Knickerbocker Ave, Brooklyn, NY 11237, USA",40.7019817,-73.9244892
49,Mobile Vaccine Clinic - Bushwick/Halsey Ave- Pop Up ,"1549 Broadway, Brooklyn","$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ",(877) 829-4692,Pop Up  - Bus ,Vaccine offered:Pfizer (12+),"$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ","1549 Broadway, Brooklyn, NY 11221, USA",40.6862965,-73.9161706
50,Mobile Vaccine Clinic - East Williamsburg- Pop Up ,"165 Graham Ave, Brooklyn","$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ",(877) 829-4692,Pop Up  - Bus ,Vaccines offered:Pfizer (12+)Pfizer (5-11),"$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ","165 Graham Ave, Brooklyn, NY 11206, USA",40.7076658,-73.9435411
51,Mobile Vaccine Clinic - Fordham Plaza- Pop Up ,"1 Fordham Plaza, Bronx","$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ",(877) 829-4692,Pop Up  - Bus ,Vaccines offered:Moderna (18+)Pfizer (12+),"$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ","1 Fordham Plaza, Bronx, NY 10458, USA",40.8604502,-73.8898253
52,Mobile Vaccine Clinic - Ridgewood- Pop Up ,"54-28 Myrtle Avenue, Queens","$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ",(877) 829-4692,Pop Up  - Bus ,Vaccines offered:Pfizer (5-11)Pfizer (12+),"$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ","54-2854- Myrtle Ave, Ridgewood, NY 11385, USA",40.6996194,-73.9106584
53,Mobile Vaccine Clinic - South Richmond Hill- Pop Up ,"11910 Liberty Ave, Queens","$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ",(877) 829-4692,Pop Up  - Bus ,Vaccines offered:Pfizer (5-11)Pfizer (12+),"$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ","11910 Liberty Ave, South Richmond Hill, NY 11419, USA",40.6862812,-73.8235934
54,Mobile Vaccine Clinic - Stuyvesant Heights- Pop Up ,"1700 Fulton Street, Brooklyn","$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ",(877) 829-4692,Pop Up  - Bus ,Vaccines offered:Pfizer (12+)Moderna (18+),"$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ","1700 Fulton St, Brooklyn, NY 11213, USA",40.678225,-73.9312059
55,Mobile Vaccine Clinic - Sunset Park 8th Ave- Pop Up ,"705 60th Street, Brooklyn","$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ",(877) 829-4692,Pop Up  - Bus ,Vaccine offered:Pfizer (12+),"$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ","705 60th St, Brooklyn, NY 11220, USA",40.6367931,-74.0113423
56,Morris Heights Health Center ,"70 West Burnside Avenue, Bronx","$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ",(877) 829-4692,Community Health Center/Clinic ,Vaccines offered:Johnson & Johnson (18+)Moderna (18+)Pfizer (12+),"$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ","70 W Burnside Ave, Bronx, NY 10453, USA",40.8543012,-73.9104006
57,NYC Health Dept. - Corona Clinic ,"34-33 Junction Boulevard, Queens","$100 incentive available , Appointments are encouraged; limited walk-ins accepted , ",(877) 829-4692,Community Health Center/Clinic ,Vaccines offered:Pfizer (5-11)Pfizer (12+)Moderna (18+),"$100 incentive available , Appointments are encouraged; limited walk-ins accepted , ","34-33 Junction Blvd, Jackson Heights, NY 11372, USA",40.7543866,-73.8720555
58,NYC Health Dept. - Crown Heights Clinic ,"1218 Prospect Place, Brooklyn","$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ",(877) 829-4692,Community Health Center/Clinic ,Vaccine offered:Moderna (18+),"$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ","1218 Prospect Pl, Brooklyn, NY 11213, USA",40.67332,-73.9358752
59,NYC Health Dept. - Fort Greene Clinic ,"295 Flatbush Ave Ext., 5th floor, Brooklyn","$100 incentive available , ",(877) 829-4692,Community Health Center/Clinic ,Vaccine offered:Moderna (18+),"$100 incentive available , ","295 Flatbush Ave Ext 5th floor, Brooklyn, NY 11201, USA",40.6917556,-73.9820452
60,NYC Health Dept. - Morrisania Clinic ,"1309 Fulton Avenue, 3rd floor, Bronx","$100 incentive available , ",(877) 829-4692,Community Health Center/Clinic ,Vaccine offered:Moderna (18+),"$100 incentive available , ","1309 Fulton Ave 3rd Floor, Bronx, NY 10456, USA",40.832732,-73.9033157
61,NYC Health Dept. - Uptown Clinic ,"158 E 115th Street, Manhattan","$100 incentive available , Appointments are encouraged; limited walk-ins accepted , ",(877) 829-4692,Community Health Center/Clinic ,Vaccines offered:Pfizer (5-11)Pfizer (12+)Moderna (18+),"$100 incentive available , Appointments are encouraged; limited walk-ins accepted , ","158 E 115th St, New York, NY 10029, USA",40.797615,-73.9419066
62,NYC Vaccine Hub - American Museum of Natural History ,"27 West 77th Street, Manhattan","$100 incentive available , Appointments are encouraged; limited walk-ins accepted , ",(877) 829-4692,Community Health Center/Clinic ,Vaccines offered:Pfizer (5-11)Moderna (18+)Pfizer (12+),"$100 incentive available , Appointments are encouraged; limited walk-ins accepted , ","27 W 77th St, New York, NY 10024, USA",40.78065,-73.9739498
63,NYC Vaccine Hub - Brooklyn Children's Museum ,"145 Brooklyn Avenue, Brooklyn","$100 incentive available , Appointments are encouraged; limited walk-ins accepted , ",(877) 829-4692,Community Health Center/Clinic ,Vaccines offered:Pfizer (5-11)Pfizer (12+),"$100 incentive available , Appointments are encouraged; limited walk-ins accepted , ","145 Brooklyn Ave, Brooklyn, NY 11213, USA",40.6744006,-73.9439728
64,NYC Vaccine Hub - Empire Outlets ,"55 Richmond Terrace, Staten Island","$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ",(877) 829-4692,Community Health Center/Clinic ,Vaccines offered:Pfizer (5-11)Pfizer (12+),"$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ","55 Richmond Terrace, Staten Island, NY 10301, USA",40.6441417,-74.0752257
65,NYC Vaccine Hub - Essex Crossing ,"244B Broome Street, Manhattan","$100 incentive available , Appointments are encouraged; limited walk-ins accepted , ",(877) 829-4692,Community Health Center/Clinic ,Vaccines offered:Pfizer (5-11)Moderna (18+)Pfizer (12+),"$100 incentive available , Appointments are encouraged; limited walk-ins accepted , ","244b Broome St, New York, NY 10002, USA",40.7178818,-73.9890579
66,NYC Vaccine Hub - Flatbush YMCA ,"1401 Flatbush Avenue, Brooklyn","$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ",(877) 829-4692,Community Health Center/Clinic ,Vaccines offered:Pfizer (5-11)Pfizer (12+),"$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ","1401 Flatbush Ave, Brooklyn, NY 11210, USA",40.6367904,-73.9513202
67,NYC Vaccine Hub - Fulton Center/Google ,"119 9th Avenue, Manhattan","$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ",(877) 829-4692,Community Health Center/Clinic ,Vaccines offered:Pfizer (5-11)Pfizer (12+),"$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ","119 9th Ave, New York, NY 10011, USA",40.7433306,-74.0041055
68,NYC Vaccine Hub - Korean Community Services ,"203-05 32nd Avenue, Queens","$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ",(877) 829-4692,Community Health Center/Clinic ,Vaccines offered:Pfizer (5-11)Pfizer (12+),"$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ","203-05 32nd Ave, Flushing, NY 11361, USA",40.7709491,-73.7864633
69,NYC Vaccine Hub - Long Island City ,"5-17 46th Road, Queens","$100 incentive available , Appointments are encouraged; limited walk-ins accepted , ",(877) 829-4692,Community Health Center/Clinic ,Vaccines offered:Pfizer (5-11)Pfizer (12+)Moderna (18+),"$100 incentive available , Appointments are encouraged; limited walk-ins accepted , ","5-17 46th Rd, Long Island City, NY 11101, USA",40.746735,-73.954627
70,NYC Vaccine Hub - Queens Public Library at Ozone Park ,"92-24 Rockaway Boulevard, Queens","$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ",(877) 829-4692,Community Health Center/Clinic ,Vaccines offered:Pfizer (5-11)Pfizer (12+),"$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ","92-24 Rockaway Blvd, Jamaica, NY 11417, USA",40.6808427,-73.846455
71,NYC Vaccine Hub - Starrett City/Spring Creek Towers - Cityblock Health ,"1310 Pennsylvania Avenue, Brooklyn","$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ",(877) 829-4692,Community Health Center/Clinic ,Vaccines offered:Pfizer (5-11)Pfizer (12+),"$100 incentive available , Walk-up vaccinations available to all eligible New Yorkers , ","1310 Granville Payne Ave, Brooklyn, NY 11239, USA",40.6487921,-73.8833019
72,NYC Vaccine Hub - The Jefferson ,"1300 Flushing Ave, Brooklyn","$100 incentive available , Appointments are encouraged; limited walk-ins accepted , ",(877) 829-4692,Community Health Center/Clinic ,Vaccines offered:Pfizer (5-11)Pfizer (12+)Moderna (18+),"$100 incentive available , Appointments are encouraged; limited walk-ins accepted , ","1300 Flushing Ave, Brooklyn, NY 11237, USA",40.7090807,-73.921886
73,NYC Vaccine Hub - The Livonia ,"506 Livonia Avenue, Brooklyn","$100 incentive available , Appointments are encouraged; limited walk-ins accepted , ",(877) 829-4692,Community Health Center/Clinic ,Vaccines offered:Pfizer (5-11)Moderna (18+)Pfizer (12+),"$100 incentive available , Appointments are encouraged; limited walk-ins accepted , ","506 Livonia Ave, Brooklyn, NY 11207, USA",40.6639783,-73.8985123
